Brand,Brand_Code,File_Name,GL,ACC Name,Period,Amount,ACT_FC
NT,3110,3110_Native Performance2023.xlsx,,GROSS PROFIT,JAN,1403.12621,Actual
NT,3110,3110_Native Performance2023.xlsx,,TOTAL OPEX,JAN,-1367.13284,Actual
NT,3110,3110_Native Performance2023.xlsx,,EBITDA,JAN,35.99337,Actual
NT,3110,3110_Native Performance2023.xlsx,,TOTAL NOPEX,JAN,-5.855,Actual
NT,3110,3110_Native Performance2023.xlsx,,TOTAL EXPENSE,JAN,-1372.98784,Actual
NT,3110,3110_Native Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-1032.98784,Actual
NT,3110,3110_Native Performance2023.xlsx,,รวมคชจกองหลัง,JAN,-340,Actual
NT,3110,3110_Native Performance2023.xlsx,Other Income,OTHER INCOME,JAN,8.78598,Actual
NT,3110,3110_Native Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,38.92435,Actual
MT,3170,3170_MHW Performance2023.xlsx,,TOTAL:SALES,JAN,0,Actual
MT,3170,3170_MHW Performance2023.xlsx,,DISCOUNT,JAN,0,Actual
MT,3170,3170_MHW Performance2023.xlsx,,NET SALES,JAN,0,Actual
MT,3170,3170_MHW Performance2023.xlsx,,COST OF GOODS SOLD,JAN,0,Actual
MT,3170,3170_MHW Performance2023.xlsx,,GROSS PROFIT,JAN,0,Actual
MT,3170,3170_MHW Performance2023.xlsx,,TOTAL OPEX,JAN,-0.558,Actual
MT,3170,3170_MHW Performance2023.xlsx,,EBITDA,JAN,-0.558,Actual
MT,3170,3170_MHW Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
MT,3170,3170_MHW Performance2023.xlsx,,TOTAL EXPENSE,JAN,-0.558,Actual
MT,3170,3170_MHW Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-0.558,Actual
MT,3170,3170_MHW Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
MT,3170,3170_MHW Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
MT,3170,3170_MHW Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-0.558,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,TOTAL:SALES,JAN,8087.36412,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,DISCOUNT,JAN,-3804.13426,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,NET SALES,JAN,4283.22986,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-2220.64652,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,GROSS PROFIT,JAN,2062.58334,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,TOTAL OPEX,JAN,-2691.55428,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,EBITDA,JAN,-628.97094,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,TOTAL NOPEX,JAN,-15.189,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,TOTAL EXPENSE,JAN,-2706.74328,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-2306.74328,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,รวมคชจกองหลัง,JAN,-400,Actual
HC,3190,3190_Herschel Performance2023.xlsx,Other Income,OTHER INCOME,JAN,28.56088,Actual
HC,3190,3190_Herschel Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-615.59906,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,TOTAL:SALES,JAN,70.22431,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,DISCOUNT,JAN,-46.10565,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,NET SALES,JAN,24.11866,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-18.47237,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,GROSS PROFIT,JAN,5.64629,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,TOTAL OPEX,JAN,-4.40088,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,EBITDA,JAN,1.24541,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,TOTAL EXPENSE,JAN,-4.40088,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-4.40088,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
BT,3200,3200_Brixton Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
BT,3200,3200_Brixton Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,1.24541,Actual
HX,3260,3260_Hex Performance2023.xlsx,,TOTAL:SALES,JAN,225.47669,Actual
HX,3260,3260_Hex Performance2023.xlsx,,DISCOUNT,JAN,-126.68698,Actual
HX,3260,3260_Hex Performance2023.xlsx,,NET SALES,JAN,98.78971,Actual
HX,3260,3260_Hex Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-66.60608,Actual
HX,3260,3260_Hex Performance2023.xlsx,,GROSS PROFIT,JAN,32.18363,Actual
HX,3260,3260_Hex Performance2023.xlsx,,TOTAL OPEX,JAN,-52.21428,Actual
HX,3260,3260_Hex Performance2023.xlsx,,EBITDA,JAN,-20.03065,Actual
HX,3260,3260_Hex Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
HX,3260,3260_Hex Performance2023.xlsx,,TOTAL EXPENSE,JAN,-52.21428,Actual
HX,3260,3260_Hex Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-22.21428,Actual
HX,3260,3260_Hex Performance2023.xlsx,,รวมคชจกองหลัง,JAN,-30,Actual
HX,3260,3260_Hex Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
HX,3260,3260_Hex Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-20.03065,Actual
SP,3300,3300_Spy Performance2023.xlsx,,TOTAL:SALES,JAN,10.07477,Actual
SP,3300,3300_Spy Performance2023.xlsx,,DISCOUNT,JAN,-9.60748,Actual
SP,3300,3300_Spy Performance2023.xlsx,,NET SALES,JAN,0.46729,Actual
SP,3300,3300_Spy Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-2.74092,Actual
SP,3300,3300_Spy Performance2023.xlsx,,GROSS PROFIT,JAN,-2.27363,Actual
SP,3300,3300_Spy Performance2023.xlsx,,TOTAL OPEX,JAN,-2.70792,Actual
SP,3300,3300_Spy Performance2023.xlsx,,EBITDA,JAN,-4.98155,Actual
SP,3300,3300_Spy Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
SP,3300,3300_Spy Performance2023.xlsx,,TOTAL EXPENSE,JAN,-2.70792,Actual
SP,3300,3300_Spy Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-2.70792,Actual
SP,3300,3300_Spy Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
SP,3300,3300_Spy Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
SP,3300,3300_Spy Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-4.98155,Actual
TV,3320,3320_Teva Performance2023.xlsx,,TOTAL:SALES,JAN,3.40187,Actual
TV,3320,3320_Teva Performance2023.xlsx,,DISCOUNT,JAN,-2.5514,Actual
TV,3320,3320_Teva Performance2023.xlsx,,NET SALES,JAN,0.85047,Actual
TV,3320,3320_Teva Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-0.86844,Actual
TV,3320,3320_Teva Performance2023.xlsx,,GROSS PROFIT,JAN,-0.01797,Actual
TV,3320,3320_Teva Performance2023.xlsx,,TOTAL OPEX,JAN,-0.56334,Actual
TV,3320,3320_Teva Performance2023.xlsx,,EBITDA,JAN,-0.58131,Actual
TV,3320,3320_Teva Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
TV,3320,3320_Teva Performance2023.xlsx,,TOTAL EXPENSE,JAN,-0.56334,Actual
TV,3320,3320_Teva Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-0.56334,Actual
TV,3320,3320_Teva Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
TV,3320,3320_Teva Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
TV,3320,3320_Teva Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-0.58131,Actual
ST,3330,3330_Stance Performance2023.xlsx,,TOTAL:SALES,JAN,161.59816,Actual
ST,3330,3330_Stance Performance2023.xlsx,,DISCOUNT,JAN,-61.37815,Actual
ST,3330,3330_Stance Performance2023.xlsx,,NET SALES,JAN,100.22001,Actual
ST,3330,3330_Stance Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-45.34626,Actual
ST,3330,3330_Stance Performance2023.xlsx,,GROSS PROFIT,JAN,54.87375,Actual
ST,3330,3330_Stance Performance2023.xlsx,,TOTAL OPEX,JAN,-72.7291,Actual
ST,3330,3330_Stance Performance2023.xlsx,,EBITDA,JAN,-17.85535,Actual
ST,3330,3330_Stance Performance2023.xlsx,,TOTAL NOPEX,JAN,-1.675,Actual
ST,3330,3330_Stance Performance2023.xlsx,,TOTAL EXPENSE,JAN,-74.4041,Actual
ST,3330,3330_Stance Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-44.4041,Actual
ST,3330,3330_Stance Performance2023.xlsx,,รวมคชจกองหลัง,JAN,-30,Actual
ST,3330,3330_Stance Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
ST,3330,3330_Stance Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-19.53035,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,TOTAL:SALES,JAN,2.69159,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,DISCOUNT,JAN,-2.01869,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,NET SALES,JAN,0.6729,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-0.73901,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,GROSS PROFIT,JAN,-0.06611,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,TOTAL OPEX,JAN,-3.99238,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,EBITDA,JAN,-4.05849,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,TOTAL EXPENSE,JAN,-3.99238,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-3.99238,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
HL,3370,3370_Hurley Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
HL,3370,3370_Hurley Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-4.05849,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,TOTAL:SALES,JAN,0,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,DISCOUNT,JAN,-0.08171,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,NET SALES,JAN,-0.08171,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,COST OF GOODS SOLD,JAN,0,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,GROSS PROFIT,JAN,-0.08171,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,TOTAL OPEX,JAN,-20.53582,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,EBITDA,JAN,-20.61753,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,TOTAL NOPEX,JAN,-3.312,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,TOTAL EXPENSE,JAN,-23.84782,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-23.84782,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
BW,3380,3380_Butterfly Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-23.92953,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,TOTAL:SALES,JAN,0,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,DISCOUNT,JAN,0,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,NET SALES,JAN,0,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,COST OF GOODS SOLD,JAN,0,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,GROSS PROFIT,JAN,0,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,TOTAL OPEX,JAN,-0.00372,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,EBITDA,JAN,-0.00372,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,TOTAL EXPENSE,JAN,-0.00372,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-0.00372,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
NK,3410,3410_NikeinSFG Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-0.00372,Actual
RN,3440,3440_Raen Performance2023.xlsx,,TOTAL:SALES,JAN,0,Actual
RN,3440,3440_Raen Performance2023.xlsx,,DISCOUNT,JAN,0,Actual
RN,3440,3440_Raen Performance2023.xlsx,,NET SALES,JAN,0,Actual
RN,3440,3440_Raen Performance2023.xlsx,,COST OF GOODS SOLD,JAN,0,Actual
RN,3440,3440_Raen Performance2023.xlsx,,GROSS PROFIT,JAN,0,Actual
RN,3440,3440_Raen Performance2023.xlsx,,TOTAL OPEX,JAN,-0.01302,Actual
RN,3440,3440_Raen Performance2023.xlsx,,EBITDA,JAN,-0.01302,Actual
RN,3440,3440_Raen Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
RN,3440,3440_Raen Performance2023.xlsx,,TOTAL EXPENSE,JAN,-0.01302,Actual
RN,3440,3440_Raen Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-0.01302,Actual
RN,3440,3440_Raen Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
RN,3440,3440_Raen Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
RN,3440,3440_Raen Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-0.01302,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,TOTAL:SALES,JAN,0,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,DISCOUNT,JAN,0,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,NET SALES,JAN,0,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,COST OF GOODS SOLD,JAN,0,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,GROSS PROFIT,JAN,0,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,TOTAL OPEX,JAN,-0.2325,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,EBITDA,JAN,-0.2325,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,TOTAL EXPENSE,JAN,-0.2325,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-0.2325,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
PB,3450,3450_Paulboutique Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-0.2325,Actual
TM,3460,3460_Toms Performance2023.xlsx,,TOTAL:SALES,JAN,7953.30847,Actual
TM,3460,3460_Toms Performance2023.xlsx,,DISCOUNT,JAN,-2019.96776,Actual
TM,3460,3460_Toms Performance2023.xlsx,,NET SALES,JAN,5933.34071,Actual
TM,3460,3460_Toms Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-2173.84448,Actual
TM,3460,3460_Toms Performance2023.xlsx,,GROSS PROFIT,JAN,3759.49623,Actual
TM,3460,3460_Toms Performance2023.xlsx,,TOTAL OPEX,JAN,-2808.04314,Actual
TM,3460,3460_Toms Performance2023.xlsx,,EBITDA,JAN,951.45309,Actual
TM,3460,3460_Toms Performance2023.xlsx,,TOTAL NOPEX,JAN,-11.914,Actual
TM,3460,3460_Toms Performance2023.xlsx,,TOTAL EXPENSE,JAN,-2819.95714,Actual
TM,3460,3460_Toms Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-2419.95714,Actual
TM,3460,3460_Toms Performance2023.xlsx,,รวมคชจกองหลัง,JAN,-400,Actual
TM,3460,3460_Toms Performance2023.xlsx,Other Income,OTHER INCOME,JAN,45.37108,Actual
TM,3460,3460_Toms Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,984.91017,Actual
PL,3470,3470_Poler Performance2023.xlsx,,TOTAL:SALES,JAN,764.60756,Actual
PL,3470,3470_Poler Performance2023.xlsx,,DISCOUNT,JAN,-137.5425,Actual
PL,3470,3470_Poler Performance2023.xlsx,,NET SALES,JAN,627.06506,Actual
PL,3470,3470_Poler Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-332.74589,Actual
PL,3470,3470_Poler Performance2023.xlsx,,GROSS PROFIT,JAN,294.31917,Actual
PL,3470,3470_Poler Performance2023.xlsx,,TOTAL OPEX,JAN,-292.81567,Actual
PL,3470,3470_Poler Performance2023.xlsx,,EBITDA,JAN,1.5035,Actual
PL,3470,3470_Poler Performance2023.xlsx,,TOTAL NOPEX,JAN,-0.674,Actual
PL,3470,3470_Poler Performance2023.xlsx,,TOTAL EXPENSE,JAN,-293.48967,Actual
PL,3470,3470_Poler Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-223.48967,Actual
PL,3470,3470_Poler Performance2023.xlsx,,รวมคชจกองหลัง,JAN,-70,Actual
PL,3470,3470_Poler Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
PL,3470,3470_Poler Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,0.8295,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,TOTAL:SALES,JAN,0,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,DISCOUNT,JAN,0,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,NET SALES,JAN,0,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,COST OF GOODS SOLD,JAN,0,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,GROSS PROFIT,JAN,0,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,TOTAL OPEX,JAN,-0.07812,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,EBITDA,JAN,-0.07812,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,TOTAL EXPENSE,JAN,-0.07812,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-0.07812,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
EB,3480,3480_Eddie Bauer Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-0.07812,Actual
PP,3500,3500_People Performance2023.xlsx,,TOTAL:SALES,JAN,8.10279,Actual
PP,3500,3500_People Performance2023.xlsx,,DISCOUNT,JAN,-4.05141,Actual
PP,3500,3500_People Performance2023.xlsx,,NET SALES,JAN,4.05138,Actual
PP,3500,3500_People Performance2023.xlsx,,COST OF GOODS SOLD,JAN,-2.72016,Actual
PP,3500,3500_People Performance2023.xlsx,,GROSS PROFIT,JAN,1.33122,Actual
PP,3500,3500_People Performance2023.xlsx,,TOTAL OPEX,JAN,-1.14738,Actual
PP,3500,3500_People Performance2023.xlsx,,EBITDA,JAN,0.18384,Actual
PP,3500,3500_People Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
PP,3500,3500_People Performance2023.xlsx,,TOTAL EXPENSE,JAN,-1.14738,Actual
PP,3500,3500_People Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-1.14738,Actual
PP,3500,3500_People Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
PP,3500,3500_People Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
PP,3500,3500_People Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,0.18384,Actual
CA,3510,3510_Clae Performance2023.xlsx,,TOTAL:SALES,JAN,0,Actual
CA,3510,3510_Clae Performance2023.xlsx,,DISCOUNT,JAN,0,Actual
CA,3510,3510_Clae Performance2023.xlsx,,NET SALES,JAN,0,Actual
CA,3510,3510_Clae Performance2023.xlsx,,COST OF GOODS SOLD,JAN,0,Actual
CA,3510,3510_Clae Performance2023.xlsx,,GROSS PROFIT,JAN,0,Actual
CA,3510,3510_Clae Performance2023.xlsx,,TOTAL OPEX,JAN,-0.18972,Actual
CA,3510,3510_Clae Performance2023.xlsx,,EBITDA,JAN,-0.18972,Actual
CA,3510,3510_Clae Performance2023.xlsx,,TOTAL NOPEX,JAN,0,Actual
CA,3510,3510_Clae Performance2023.xlsx,,TOTAL EXPENSE,JAN,-0.18972,Actual
CA,3510,3510_Clae Performance2023.xlsx,,รวมคชจกองหน้า,JAN,-0.18972,Actual
CA,3510,3510_Clae Performance2023.xlsx,,รวมคชจกองหลัง,JAN,0,Actual
CA,3510,3510_Clae Performance2023.xlsx,Other Income,OTHER INCOME,JAN,0,Actual
CA,3510,3510_Clae Performance2023.xlsx,,NET PROFIT BEFORE TAX,JAN,-0.18972,Actual
YZ,3520,3520_Yankz Performance2023.xlsx,,TOTAL:SALES,JAN,1.43272,Actual
